pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_yellow,fare_turquoise,fare_luxury,selected_taxi_type,distance_of_ride
41.0614616,28.8538779,41.06970719999999,28.9950702,57.99,67.29,99.1,1,17094
41.0614815,28.8539071,41.0292106,28.9484978,42.66,49.48,72.88,2,12147
41.0614815,28.8539071,41.0292106,28.9484978,42.66,49.48,72.88,1,12147
37.781669,30.54470600000001,37.7674562,30.5420569,13.09,15.14,22.33,1,2609
37.781669,30.54470600000001,37.7674562,30.5420569,13.09,15.14,22.33,2,2609
40.9807042,28.8118651,40.9872237,29.0284354,91.39,106.07,156.2,2,27867
40.9807042,28.8118651,40.9872237,29.0284354,91.39,106.07,156.2,1,27867
40.9807042,28.8118651,40.9872237,29.0284354,91.39,106.07,156.2,2,27867
41.0149358,28.9659767,40.9919149,28.7975316,68.8,79.84,117.58,0,20581
41.0149358,28.9659767,40.9919149,28.7975316,68.8,79.84,117.58,1,20581
41.0149358,28.9659767,40.9919149,28.7975316,68.8,79.84,117.58,2,20581
41.00002309999999,28.859877,40.9919149,28.7975316,31.19,36.17,53.28,0,8449
41.00002309999999,28.859877,40.9919149,28.7975316,31.19,36.17,53.28,1,8449
40.9917483,28.8456613,40.9919149,28.7975316,26.14,30.3,44.65,0,6820
40.9917483,28.8456613,40.9919149,28.7975316,26.14,30.3,44.65,2,6820
40.9917483,28.8456613,40.9919149,28.7975316,26.14,30.3,44.65,1,6820
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,2,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,1,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,2,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,0,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,2,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,1,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,2,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,0,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,2,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,1,17097
41.0614823,28.8539102,41.06970719999999,28.9950702,58,67.3,99.11,2,17097
41.20868309999999,29.0215532,41.2213,29.0211,13,14.95,22.1,0,2375
41.20868309999999,29.0215532,41.2213,29.0211,13,14.95,22.1,1,2375
40.976208,28.74700730000001,41.01000000000001,28.9566667,74.74,86.74,127.73,2,22497
40.99863380000001,28.7986147,40.879326,29.258135,169.95,197.31,290.52,1,53211
41.03332899999999,29.10136,40.8771704,29.2295057,94.07,109.19,160.78,2,28732
40.919187,29.1639747,40.98186700000001,29.0576302,50.5,58.59,86.29,0,14678
41.0028899,28.8896156,41.0216199,29.0067588,104.25,121,178.18,2,32015
40.98470289999999,28.9102568,41.0098626,28.9443493,23.33,27.04,39.84,1,5914
41.0137496,29.2547994,41.0098626,28.9443493,117.53,136.43,200.88,0,36299
40.9997461,28.9497502,40.99969670000001,28.9312884,13,14.95,22.1,0,2107
41.0105113,28.9670557,40.99969670000001,28.9312884,18.62,21.56,31.78,1,4392
41.099427,28.86113679999999,41.0382645,28.9370032,45.41,52.68,77.59,0,13035
41.099427,28.86113679999999,41.0382645,28.9370032,45.41,52.68,77.59,1,13035
41.186394,28.738889,41.073678,28.247868,183.56,213.11,313.79,0,57601
40.98520500000001,29.034049,40.96842299999999,29.262008,78.48,91.08,134.13,0,23704
41.2599003,28.7427288,41.0422066,29.0067037,139.78,162.27,238.93,1,43478
41.2599003,28.7427288,41.06970719999999,28.9950702,135.33,157.1,231.32,2,42041
41.2599003,28.7427288,41.06970719999999,28.9950702,135.33,157.1,231.32,0,42041
41.2599003,28.7427288,41.0665593,29.01317390000001,129.52,150.35,221.39,0,40168
41.2599003,28.7427288,40.998723,28.79851609999999,132.65,153.99,226.74,0,41178
41.2599003,28.7427288,41.0299481,28.8704207,128.4,149.06,219.48,0,39808
41.2599003,28.7427288,41.0386605,28.8290922,116.72,135.49,199.51,0,36039
41.2599003,28.7427288,41.0199235,28.9491403,146.19,169.71,249.89,1,45545
41.2599003,28.7427288,41.0369469,28.98507239999999,139.79,162.28,238.95,0,43481
41.0422066,29.0067037,41.2599003,28.7427288,127.4,147.89,217.77,0,39484
41.0396269,28.8954171,41.2599003,28.7427288,129.56,150.4,221.46,0,40181
